cluster_id,size,duration_days,narrative_type,narrative_description,dynamic_keywords,total_actors,key_insights,sentiment_positive,sentiment_negative,sentiment_neutral,financial_positive,financial_negative,financial_neutral
75,5,425,Technology/Innovation,"This narrative centers around dublin-based harbourmaster capital, blackstone, acquired dublin-based harbourmaster. spanning 425 days with 5 articles. The coverage shows neutral tone (confidence: 0.54). with specifically positive financial implications.","dublin-based harbourmaster capital, blackstone, acquired dublin-based harbourmaster, gso acquires loan, acquires loan manager, loan, loans, morgan stanley, harbourmaster capital management, credit",4,Rich entity content suggests complex stakeholder dynamics,1,2,2,2,1,2
76,8,659,Market Crisis,"This narrative centers around chicago, percent, futures. spanning 659 days with 8 articles. The coverage shows neutral tone (confidence: 0.55). with specifically negative financial implications.","chicago, percent, futures, pound, chicago mercantile exchange, hog futures, chicago mercantile, cattle futures, settlement, cattle",2,Concentrated reporting suggests specialized coverage or breaking news; Rich entity content suggests complex stakeholder dynamics,0,3,5,2,6,0
77,10,659,Regulatory/Policy,"This narrative centers around dreyfus municipal cash, dreyfus government cash, dreyfus treasury prime. spanning 659 days with 10 articles. The coverage shows neutral tone (confidence: 0.29).","dreyfus municipal cash, dreyfus government cash, dreyfus treasury prime, treasury prime cash, dreyfus institutional cash, dreyfus cash management, millrate, dreyfus, cash management, 00 00",0,Concentrated reporting suggests specialized coverage or breaking news; Rich entity content suggests complex stakeholder dynamics,0,0,10,0,0,10
78,14,659,Market Crisis,"This narrative centers around china, copper, metal. spanning 659 days with 14 articles. The coverage shows negative sentiment (confidence: 0.68).","china, copper, metal, futures, percent, london metal exchange, shanghai futures exchange, tons, london metal, london",7,Rich entity content suggests complex stakeholder dynamics,1,7,6,1,13,0
79,4,406,Market Crisis,"This narrative centers around armstrong, lance armstrong, lance armstrong foundation. spanning 406 days with 4 articles. The coverage shows negative sentiment (confidence: 0.65).","armstrong, lance armstrong, lance armstrong foundation, international olympic committee, livestrong, his, games, he, charity lance armstrong, of his",4,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,2,2,0,3,1
80,9,660,Market Crisis,"This narrative centers around basis points, basis, points. spanning 660 days with 9 articles. The coverage shows neutral tone (confidence: 0.55). with specifically negative financial implications.","basis points, basis, points, bloomberg, markit cdx north, investment grade index, debt, cdx north american, swaps, basis point equals",5,Rich entity content suggests complex stakeholder dynamics,0,3,6,1,8,0
81,9,541,Market Crisis,"This narrative centers around percent, serbia, bank. spanning 541 days with 9 articles. The coverage shows negative sentiment (confidence: 0.60).","percent, serbia, bank, government, slovenia, billion, central bank, for this story james, james m. gomez, domestic",6,Rich entity content suggests complex stakeholder dynamics,0,5,4,2,6,1
82,7,658,Market Crisis,"This narrative centers around plc, percent, pence. spanning 658 days with 7 articles. The coverage shows negative sentiment (confidence: 0.65).","plc, percent, pence, group plc, ftse, london, banking group plc, scotland group plc, index, percent to",5,High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,0,6,1,1,6,0
83,5,660,Regulatory/Policy,"This narrative centers around court, district court, case. spanning 660 days with 5 articles. The coverage shows neutral tone (confidence: 0.63).","court, district court, case, abn amro bank, ratings, state court, rubber stamp’ rating, justice department, district, federal court",5,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,2,3,0,2,3
84,4,2,Regulatory/Policy,"This narrative centers around ecb, banks, european. spanning 2 days with 4 articles. The coverage shows negative sentiment (confidence: 0.71). with specifically positive financial implications.","ecb, banks, european, europe, european banks, european central bank, bloomberg europe banks, eu, greek, european financial stability",4,Broad journalistic coverage indicates widespread industry attention; High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,1,2,1,4,0,0
85,7,522,Market Crisis,"This narrative centers around peso, chilean peso strengthens, santiago. spanning 522 days with 7 articles. The coverage shows negative sentiment (confidence: 0.66).","peso, chilean peso strengthens, santiago, central bank, europe optimism chile, chile, percent, per dollar, dollar, chilean peso",1,Concentrated reporting suggests specialized coverage or breaking news; Rich entity content suggests complex stakeholder dynamics,1,5,1,3,4,0
86,6,659,Market Crisis,"This narrative centers around percent, swiss market index, swiss performance index. spanning 659 days with 6 articles. The coverage shows negative sentiment (confidence: 0.66).","percent, swiss market index, swiss performance index, swiss stocks, ag, percent after, swiss, smi, stocks, broader swiss performance",4,Rich entity content suggests complex stakeholder dynamics,0,6,0,2,4,0
87,9,659,Market Crisis,"This narrative centers around percent, central bank, peso. spanning 659 days with 9 articles. The coverage shows neutral tone (confidence: 0.65). with specifically negative financial implications.","percent, central bank, peso, colombia, peso bond yields, colombia bond yields, minister mauricio cardenas, rate, bogota, yields",3,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,1,8,2,6,1
88,5,406,Regulatory/Policy,"This narrative centers around basis points, basis, points. spanning 406 days with 5 articles. The coverage shows negative sentiment (confidence: 0.63).","basis points, basis, points, european central bank, billion euros, european, tightens to narrowest, rate, basis swap, cross-currency basis swap",3,Rich entity content suggests complex stakeholder dynamics,0,3,2,1,3,1
89,4,543,Market Crisis,"This narrative centers around basis points, spurs global rally, japan. spanning 543 days with 4 articles. The coverage shows negative sentiment (confidence: 0.56).","basis points, spurs global rally, japan, optimism spurs global, points, hong kong, spurs global, default, basis, markit itraxx japan",4,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,2,2,2,2,0
90,10,660,Market Crisis,"This narrative centers around taiwan, percent, taiwan dollar. spanning 660 days with 10 articles. The coverage shows negative sentiment (confidence: 0.70).","taiwan, percent, taiwan dollar, taiwan interbank money, taiwan dollar forwards, dollar, gretai securities market, currency, taipei, interbank money center",3,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,3,5,2,5,5,0
91,4,543,Market Crisis,"This narrative centers around tons, indonesia, vietnam coffee harvest. spanning 543 days with 4 articles. The coverage shows neutral tone (confidence: 0.61). with specifically positive financial implications.","tons, indonesia, vietnam coffee harvest, vietnam, percent, march, coffee, million tons, year, supplies",3,High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,0,2,2,2,2,0
92,7,191,Market Crisis,"This narrative centers around japan, boj, bank. spanning 191 days with 7 articles. The coverage shows neutral tone (confidence: 0.66). with specifically negative financial implications.","japan, boj, bank, tokyo, yen, central bank, in tokyo, percent, governor masaaki shirakawa, japan credit japan",5,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,3,4,2,3,2
93,8,658,M&A Activity,"This narrative centers around bp, claims, oil. spanning 658 days with 8 articles. The coverage shows negative sentiment (confidence: 0.59).","bp, claims, oil, settlement, oil spill, mexico oil spill, spill, clean water act, mexico, oil rig deepwater",7,Broad journalistic coverage indicates widespread industry attention; Rich entity content suggests complex stakeholder dynamics,0,6,2,0,6,2
94,7,137,Market Crisis,"This narrative centers around japan, solar, yen. spanning 137 days with 7 articles. The coverage shows neutral tone (confidence: 0.65). with specifically positive financial implications.","japan, solar, yen, energy, japan domestic solar, solar power japan, power japan corp, japan photovoltaic energy, power, suntech power japan",2,Concentrated reporting suggests specialized coverage or breaking news; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,0,6,3,1,3
95,7,308,Market Crisis,"This narrative centers around india, central bank, bank. spanning 308 days with 7 articles. The coverage shows neutral tone (confidence: 0.61). with specifically negative financial implications.","india, central bank, bank, percent, mumbai, bonds, basis points, rate, bloomberg, the central bank",4,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,2,5,3,4,0
96,5,195,Earnings/Results,"This narrative centers around sony, wii, nintendo co.’s wii. spanning 195 days with 5 articles. The coverage shows neutral tone (confidence: 0.59). with specifically positive financial implications.","sony, wii, nintendo co.’s wii, nintendo, company, game, games, mobile, nintendo faces wii, sales",4,Rich entity content suggests complex stakeholder dynamics,0,2,3,2,2,1
97,8,430,Market Growth,"This narrative centers around dan carter, zealand, new zealand. spanning 430 days with 8 articles. The coverage shows negative sentiment (confidence: 0.69). with specifically neutral financial implications.","dan carter, zealand, new zealand, rugby world cup, zealand rugby union, world cup, south africa, aaron cruden, africa, zealand rugby",3,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,2,5,1,1,3,4
98,4,122,Regulatory/Policy,"This narrative centers around china, politburo standing committee, party. spanning 122 days with 4 articles. The coverage shows neutral tone (confidence: 0.48).","china, politburo standing committee, party, communist party, communist party secretary, standing committee, committee, party secretary, secretary, chinese communist party",2,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,0,4,0,0,4
99,7,304,Market Crisis,"This narrative centers around data, compiled by bloomberg, bonds. spanning 304 days with 7 articles. The coverage shows negative sentiment (confidence: 0.68).","data, compiled by bloomberg, bonds, percent, data compiled, thai bonds advance, thailand, percent bonds due, thai bond market, bangkok",1,Concentrated reporting suggests specialized coverage or breaking news; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,5,1,1,6,0
100,5,256,General Business,"This narrative centers around reported, india money markets, income money market. spanning 256 days with 5 articles. The coverage shows neutral tone (confidence: 0.85).","reported, india money markets, income money market, india, fixed income money, money, money markets, india money, deposits reported, table",1,Concentrated reporting suggests specialized coverage or breaking news; High proportion of market-hours coverage suggests trading relevance,0,0,5,0,0,5
101,4,254,M&A Activity,"This narrative centers around vivendi, paris, billion. spanning 254 days with 4 articles. The coverage shows neutral tone (confidence: 0.49). with specifically positive financial implications.","vivendi, paris, billion, activision, company, coming quarters, vivendi holding activision, game, activision blizzard, french",4,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,1,2,2,1,1
102,6,304,General Business,"This narrative centers around stock exchange, traded contracts qty, contracts indrtoco qty. spanning 304 days with 6 articles. The coverage shows neutral tone (confidence: 0.26).","stock exchange, traded contracts qty, contracts indrtoco qty, fii traded contracts, india, traded contracts indrtoco, contracts, derivative market activity, equity, equity derivative market",2,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,0,5,0,0,6
103,10,306,Market Growth,"This narrative centers around england, australia, india. spanning 306 days with 10 articles. The coverage shows positive sentiment (confidence: 0.56). with specifically neutral financial implications.","england, australia, india, runs, sehwag lifts india, cricket test england, new zealand, england cricket test, christopher elser, cricket test",4,Rich entity content suggests complex stakeholder dynamics,6,2,2,3,0,7
104,4,4,Technology/Innovation,"This narrative centers around petraeus, fbi, david petraeus. spanning 4 days with 4 articles. The coverage shows negative sentiment (confidence: 0.66).","petraeus, fbi, david petraeus, bureau, cia, director david petraeus, security, investigation, central intelligence agency, agency",4,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,4,0,0,2,2
105,11,57,Market Growth,"This narrative centers around romney, tax, obama. spanning 57 days with 11 articles. The coverage shows neutral tone (confidence: 0.63).","romney, tax, obama, fiscal, president barack obama, barack obama, congress, mitt romney, tax rate, tax rates",10,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,4,7,1,5,5
106,13,308,M&A Activity,"This narrative centers around spa securities ltd., nvs brokerage ltd., publisher web service. spanning 308 days with 13 articles. The coverage shows neutral tone (confidence: 0.79).","spa securities ltd., nvs brokerage ltd., publisher web service, web service provider, indian money market, financial consultancy services, securities, ltd, table, bloomberg publisher web",2,Concentrated reporting suggests specialized coverage or breaking news; High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,0,0,13,0,0,13
107,5,55,M&A Activity,"This narrative centers around xstrata, glencore international plc, standard life. spanning 55 days with 5 articles. The coverage shows neutral tone (confidence: 0.66). with specifically positive financial implications.","xstrata, glencore international plc, standard life, deal, glencore, qatar holding llc, the deal, xstrata shareholders, xstrata plc, vote",5,Broad journalistic coverage indicates widespread industry attention; Rich entity content suggests complex stakeholder dynamics,2,0,3,2,1,2
108,5,308,Market Crisis,"This narrative centers around hong kong, hang seng index, china. spanning 308 days with 5 articles. The coverage shows negative sentiment (confidence: 0.58).","hong kong, hang seng index, china, index, hang seng china, hang seng, seng index, percent, kong, hong kong stocks",4,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,4,0,1,4,0
109,5,174,M&A Activity,"This narrative centers around swaps, cftc, futures trading commission. spanning 174 days with 5 articles. The coverage shows negative sentiment (confidence: 0.67).","swaps, cftc, futures trading commission, commodity futures trading, commission, cme, rules, trading commission, cftc chairman gary, goldman sachs group",3,Rich entity content suggests complex stakeholder dynamics,0,4,1,0,4,1
110,6,257,Market Crisis,"This narrative centers around argentina, court, bonds. spanning 257 days with 6 articles. The coverage shows neutral tone (confidence: 0.66). with specifically negative financial implications.","argentina, court, bonds, pay, nml capital ltd., alternate argentine bond, nml capital, case, appeals court, debt",5,Broad journalistic coverage indicates widespread industry attention; Rich entity content suggests complex stakeholder dynamics,0,0,6,0,4,2
111,7,664,Market Crisis,"This narrative centers around fiat, percent, chrysler. spanning 664 days with 7 articles. The coverage shows neutral tone (confidence: 0.70).","fiat, percent, chrysler, euros, renault, chrysler group llc, psa peugeot citroen, million euros, paris, fiat spa",5,Rich entity content suggests complex stakeholder dynamics,1,3,3,3,1,3
112,4,304,Market Crisis,"This narrative centers around oil, million tons, state statistics committee. spanning 304 days with 4 articles. The coverage shows neutral tone (confidence: 0.41). with specifically negative financial implications.","oil, million tons, state statistics committee, tons, bp, azerbaijan, year earlier, economic growth slows, percent, output",1,Concentrated reporting suggests specialized coverage or breaking news; Rich entity content suggests complex stakeholder dynamics,0,2,2,0,4,0
113,7,140,M&A Activity,"This narrative centers around major league baseball, league, major league. spanning 140 days with 7 articles. The coverage shows neutral tone (confidence: 0.54).","major league baseball, league, major league, league baseball player, league baseball, runs, trout, season, detroit, american league rookie",5,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,0,6,2,0,5
114,5,75,Regulatory/Policy,"This narrative centers around ecb, eu, bank executive board. spanning 75 days with 5 articles. The coverage shows neutral tone (confidence: 0.56).","ecb, eu, bank executive board, european central bank, banks, executive board member, euro area, board member benoit, euro, central bank executive",5,Broad journalistic coverage indicates widespread industry attention; High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,0,1,4,2,1,2
115,7,195,Market Crisis,"This narrative centers around germany, german, economy. spanning 195 days with 7 articles. The coverage shows negative sentiment (confidence: 0.69).","germany, german, economy, quarter, percent, year, german economy, gdp, euro, the euro",5,High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,0,4,3,3,4,0
116,5,58,Market Growth,"This narrative centers around obama, thein sein, myanmar. spanning 58 days with 5 articles. The coverage shows positive sentiment (confidence: 0.62). with specifically neutral financial implications.","obama, thein sein, myanmar, suu kyi, china, president thein sein, san suu kyi, myanmar president thein, her, military",5,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,2,1,2,2,0,3
117,8,249,Market Crisis,"This narrative centers around dell, michael dell, silver lake. spanning 249 days with 8 articles. The coverage shows neutral tone (confidence: 0.65). with specifically negative financial implications.","dell, michael dell, silver lake, silver lake management, officer michael dell, silver lake group, michael, inc, lake management llc, share",6,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,3,5,1,4,3
118,11,308,M&A Activity,"This narrative centers around commercial papers reported, india money markets, publisher web service. spanning 308 days with 11 articles. The coverage shows neutral tone (confidence: 0.79).","commercial papers reported, india money markets, publisher web service, web service provider, bloomberg publisher web, india, commercial, table, income money market, provided",2,Concentrated reporting suggests specialized coverage or breaking news; High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,0,0,11,0,0,11
119,5,304,Regulatory/Policy,"This narrative centers around chicago, teachers, performance. spanning 304 days with 5 articles. The coverage shows neutral tone (confidence: 0.77). with specifically negative financial implications.","chicago, teachers, performance, school, chicago teachers union, chicago teachers, teacher, teachers union, obama chicago teachers, union",5,Broad journalistic coverage indicates widespread industry attention; Rich entity content suggests complex stakeholder dynamics,0,2,3,0,3,2
120,4,120,General Business,"This narrative centers around telecom italia, italia, offer telecom italia. spanning 120 days with 4 articles. The coverage shows neutral tone (confidence: 0.48).","telecom italia, italia, offer telecom italia, telecom italia spa, telecom italia shares, billion euros, letter telecom italia, telecom italia unions, euros, telecom",4,Broad journalistic coverage indicates widespread industry attention; Rich entity content suggests complex stakeholder dynamics,0,2,2,0,2,2
121,8,544,Market Crisis,"This narrative centers around american, american airlines, contract. spanning 544 days with 8 articles. The coverage shows negative sentiment (confidence: 0.69).","american, american airlines, contract, union, airlines, airbus german workers, boeing, percent, united, airline",7,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,6,2,0,7,1
122,5,308,M&A Activity,"This narrative centers around llp, firm, partner. spanning 308 days with 5 articles. The coverage shows positive sentiment (confidence: 0.72). with specifically neutral financial implications.","llp, firm, partner, office, partners, los angeles office, law firm, the firm, york, law",2,Rich entity content suggests complex stakeholder dynamics,3,0,2,0,0,5
123,4,192,General Business,"This narrative centers around brazil, petrobras, company. spanning 192 days with 4 articles. The coverage shows negative sentiment (confidence: 0.60).","brazil, petrobras, company, threatens to step, losses petroleo brasileiro, petrobras threatens, fuel losses petroleo, oil, de, billion",3,Rich entity content suggests complex stakeholder dynamics,0,3,1,1,2,1
124,6,311,Market Crisis,"This narrative centers around google, mobile, facebook. spanning 311 days with 6 articles. The coverage shows neutral tone (confidence: 0.63). with specifically negative financial implications.","google, mobile, facebook, facebook missteps sour, company, missteps sour riviera, social, menlo park, sour riviera, inc",5,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,1,4,2,2,2
125,10,308,Market Crisis,"This narrative centers around mexico, peso, mexico city. spanning 308 days with 10 articles. The coverage shows negative sentiment (confidence: 0.74).","mexico, peso, mexico city, city, bloomberg, percent, mexico peso, currency, compiled by bloomberg, u.s.",3,Rich entity content suggests complex stakeholder dynamics,4,5,1,4,6,0
126,5,8,Technology/Innovation,"This narrative centers around yankees, runs, soriano. spanning 8 days with 5 articles. The coverage shows negative sentiment (confidence: 0.67). with specifically neutral financial implications.","yankees, runs, soriano, major league baseball, alex rodriguez, york yankees, york, rodriguez, league, team",4,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,4,1,1,1,3
127,5,133,Regulatory/Policy,"This narrative centers around cameron, economy, david cameron. spanning 133 days with 5 articles. The coverage shows positive sentiment (confidence: 0.53).","cameron, economy, david cameron, prime minister, party, prime minister david, minister david cameron, the economy, labour party, election",4,Rich entity content suggests complex stakeholder dynamics,2,2,1,4,1,0
128,4,7,Market Growth,"This narrative centers around australia, papua new guinea, indonesia. spanning 7 days with 4 articles. The coverage shows negative sentiment (confidence: 0.57).","australia, papua new guinea, indonesia, prime minister, minister kevin rudd, asylum seekers, australian, guinea, papua, the number",3,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,4,0,0,4,0
129,6,235,Market Growth,"This narrative centers around francis, brazil, pope benedict xvi. spanning 235 days with 6 articles. The coverage shows neutral tone (confidence: 0.85).","francis, brazil, pope benedict xvi, pope francis, world youth day, roman catholic church, african pope, benedict xvi, pope, his",6,Broad journalistic coverage indicates widespread industry attention; Rich entity content suggests complex stakeholder dynamics,2,1,3,1,0,5
130,4,1,General Business,"This narrative centers around belgium, philippe, succeeding albert philippe. with 4 articles published on a single day. The coverage shows negative sentiment (confidence: 0.53). with specifically neutral financial implications.","belgium, philippe, succeeding albert philippe, brussels, belgium installs philippe, albert, installs philippe, philippe belgian king, role, belgian king albert",1,High coverage intensity suggests significant market impact; Concentrated reporting suggests specialized coverage or breaking news; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,3,1,0,1,3
131,7,3,Market Crisis,"This narrative centers around open, british, phil mickelson. spanning 3 days with 7 articles. The coverage shows negative sentiment (confidence: 0.56). with specifically neutral financial implications.","open, british, phil mickelson, mickelson, british open, british open title, round, british open adam, british open phil, final",2,High coverage intensity suggests significant market impact; Concentrated reporting suggests specialized coverage or breaking news; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,2,3,2,0,1,6
132,8,299,Regulatory/Policy,"This narrative centers around israel, pursuit reaps fragile, netanyahu. spanning 299 days with 8 articles. The coverage shows neutral tone (confidence: 0.58).","israel, pursuit reaps fragile, netanyahu, obama, minister benjamin netanyahu, palestinian president mahmoud, israeli prime minister, state john kerry, kerry, talks",5,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,2,3,3,1,1,6
133,7,305,Market Growth,"This narrative centers around housing, homes, commerce department. spanning 305 days with 7 articles. The coverage shows neutral tone (confidence: 0.64). with specifically positive financial implications.","housing, homes, commerce department, home, sales, percent, preview home sales, commerce department showed, mortgage rates, mortgage",5,High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,1,1,5,5,2,0
134,4,3,General Business,"This narrative centers around froome, team, france. spanning 3 days with 4 articles. The coverage shows neutral tone (confidence: 0.67).","froome, team, france, sky, tour de france, paris, tour, froome wins tour, de, team sky",2,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,1,2,0,0,4
135,11,7,Market Crisis,"This narrative centers around detroit, bankruptcy, city. spanning 7 days with 11 articles. The coverage shows neutral tone (confidence: 0.67). with specifically negative financial implications.","detroit, bankruptcy, city, manager kevyn orr, orr, michigan, governor rick snyder, snyder, michigan governor rick, rick snyder",10,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,5,5,1,6,4
136,21,311,Market Growth,"This narrative centers around sac, sec, cohen. spanning 311 days with 21 articles. The coverage shows negative sentiment (confidence: 0.62). with specifically neutral financial implications.","sac, sec, cohen, sac capital advisors, cohen sac capital, trading, sac capital, insider, sac fund manager, steinberg",13,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,16,5,1,8,12
137,6,23,Regulatory/Policy,"This narrative centers around senate, colorado, gun. spanning 23 days with 6 articles. The coverage shows neutral tone (confidence: 0.47).","senate, colorado, gun, democrat, background checks, newtown, gun laws, state, measure, house republicans democrats",6,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,2,4,1,1,4
138,6,308,Market Crisis,"This narrative centers around batista, eike batista, ogx ogx petroleo. spanning 308 days with 6 articles. The coverage shows neutral tone (confidence: 0.50). with specifically negative financial implications.","batista, eike batista, ogx ogx petroleo, rio mover ogx, billion, billionaire eike batista, mover ogx petroleo, ogx, de, sa",6,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,2,4,1,3,2
139,12,308,Market Crisis,"This narrative centers around china, yuan, shanghai. spanning 308 days with 12 articles. The coverage shows neutral tone (confidence: 0.57). with specifically positive financial implications.","china, yuan, shanghai, percent, rate, china foreign exchange, interbank funding center, bank, central bank, national interbank funding",6,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,3,8,7,5,0
140,7,137,Technology/Innovation,"This narrative centers around san francisco, national football league, super bowl. spanning 137 days with 7 articles. The coverage shows neutral tone (confidence: 0.73).","san francisco, national football league, super bowl, nfl free-agent signing, national football, harvin, season, round, fellow wideouts mike, league",7,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,0,7,1,0,6
141,4,297,General Business,"This narrative centers around syria, nations independent commission, syria dwindle. spanning 297 days with 4 articles. The coverage shows negative sentiment (confidence: 0.70).","syria, nations independent commission, syria dwindle, syrian president bashar, al, war, syrian, nations, united nations independent, military",4,Broad journalistic coverage indicates widespread industry attention; Rich entity content suggests complex stakeholder dynamics,0,3,1,0,3,1
142,14,554,Market Crisis,"This narrative centers around league, manchester united, premier league. spanning 554 days with 14 articles. The coverage shows negative sentiment (confidence: 0.59). with specifically positive financial implications.","league, manchester united, premier league, united, manchester city, points, manchester united beat, win, champion manchester city, aston villa",6,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,7,7,0,9,3,2
143,4,174,Market Crisis,"This narrative centers around chavez, maduro, hugo chavez. spanning 174 days with 4 articles. The coverage shows neutral tone (confidence: 0.62).","chavez, maduro, hugo chavez, president, president hugo chavez, henrique capriles radonski, percent, election, his, presidential",4,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,1,3,0,1,3
144,4,194,Market Growth,"This narrative centers around deal, sprint, sprint nextel corp. spanning 194 days with 4 articles. The coverage shows neutral tone (confidence: 0.59). with specifically positive financial implications.","deal, sprint, sprint nextel corp, company, metropcs, deutsche telekom, verizon wireless, carrier, mobile, federal communications commission",4,Broad journalistic coverage indicates widespread industry attention; Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,0,4,3,0,1
145,6,195,Market Crisis,"This narrative centers around jersey, christie, chris christie. spanning 195 days with 6 articles. The coverage shows negative sentiment (confidence: 0.70).","jersey, christie, chris christie, new jersey, atlantic city, state, governor chris christie, revenue, budget, jersey governor chris",2,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,3,3,2,4,0
146,7,304,Market Crisis,"This narrative centers around central bank, rate, bank. spanning 304 days with 7 articles. The coverage shows negative sentiment (confidence: 0.72).","central bank, rate, bank, warsaw, percent, central, central bank cut, polish central bank, marek belka, euro",4,High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,0,5,2,2,5,0
147,6,192,Market Crisis,"This narrative centers around blackberry, rim, blackberry shares. spanning 192 days with 6 articles. The coverage shows neutral tone (confidence: 0.72). with specifically positive financial implications.","blackberry, rim, blackberry shares, officer thorsten heins, canadian, nick turner, toronto, chief executive officer, the stock, miller in toronto",4,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,0,1,5,3,1,2
148,6,27,Technology/Innovation,"This narrative centers around points, miami heat, miami. spanning 27 days with 6 articles. The coverage shows neutral tone (confidence: 0.56). with specifically positive financial implications.","points, miami heat, miami, national basketball association, miami heat beat, heat, games, indiana pacers 105-91, straight, heat beat pacers",3,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,1,4,4,0,2
149,4,304,Regulatory/Policy,"This narrative centers around lloyds, plc, lloyds banking group. spanning 304 days with 4 articles. The coverage shows neutral tone (confidence: 0.53).","lloyds, plc, lloyds banking group, banking group plc, james ’s place, pence, london, group plc, the government, scotland group plc",4,Broad journalistic coverage indicates widespread industry attention; Rich entity content suggests complex stakeholder dynamics,0,0,4,1,0,3
